Instance name,CNF-to-DRAT time (ms),DRAT size (bytes),DRAT-to-LRAT time (ms),DRAT-to-LRAT peak memory usage (kb),LRAT-from-DRAT size (bytes),LRAT-from-DRAT verification time (ms),CNF-to-FRAT time (ms),FRAT size (bytes),FRAT-to-LRAT time (ms),FRAT-to-LRAT peak memory usage (kb),Temporary file size (bytes),LRAT-from-FRAT size (bytes),LRAT-from-FRAT verification time (ms)
11pipe_11_ooo-sc2011,2042550,6792049744,1360200,6429576,1641858499,44000,2378116,11558141661,846880,1198392,802716503,1649532026,44131
6s126-opt-sc2014,928110,1735010819,604850,2350824,278265719,8200,1841016,12958196995,513490,521500,197158888,381605994,10589
6s133-sc2014,226010,286996693,141410,586740,343413973,9590,343717,970236187,76740,76944,371948512,774936228,21068
6s139-sc2013,1303030,615612187,1687280,1298568,671128470,18100,1500223,1264726468,332720,551840,270518971,539057682,14831
6s166-sc2013,24710,45831752,6360,127564,20861696,640,28250,122762708,3860,23592,12730983,28452244,890
6s169-opt-sc2014,15820,31779940,3460,109304,12815434,400,15464,74647474,1830,18448,5724328,11884048,385
6s20-sc2013,532200,522070738,659460,1147512,983311521,27290,584135,1407095049,101200,93804,455660102,939245278,26109
9dlx_vliw_at_b_iq8-sc2007,1014140,1231776054,2415270,1741836,357651574,13470,1128839,1767439191,1811960,1391524,170848293,380466726,14140
9pipe_k-sc2012,144520,614210501,131440,798872,259068768,8120,155630,799568860,207320,537356,131147775,273816618,8381
ASG_96_len112_known_last13_2_u,527710,99511564,419050,1416420,1879597208,53960,565679,1039615903,102490,22836,926190180,1987155006,53778
Grain_no_init_ver1_out200_known_last104_0_u,2287210,1191404924,4560500,4529796,4220344636,128820,2354453,3252062571,265760,57896,1898546346,3884691291,118581
Grain_no_init_ver1_out200_known_last105_0_u,390550,317575705,683240,1270992,1101518412,33910,399947,797597935,65720,30164,498721340,1031740227,31062
Haystacks-ext-12_c18,263450,832679184,443360,1962852,1098475302,34030,279018,1076316068,66970,73128,505879864,1093389355,33819
LABS_n071_goal001-sc2013,2857980,380372451,3016000,1626968,1736357504,48850,2943416,1492663723,177920,165736,914116752,1890156605,52677
MUS-v310-4-sc2013,2593680,727296808,2873700,2425996,1665454050,54060,2592508,1545285958,140600,70404,770742901,1582970293,52202
Mickey_out250_known_last146_0_u,790350,577599834,1271780,4518488,6990268267,200640,990731,4848516798,459870,215816,3257789085,6686774442,180235
Mickey_out250_known_last147_0_u,562330,404579504,513600,2462660,3545204128,96690,298783,1650742239,127800,145036,928564639,1892973755,50554
Nb51T6-sc2018,4226890,875391672,931910,3011976,360091041,15870,4205314,1968650933,148320,2997084,137926614,371029204,15333
QG7a-gensys-icl001.sat05-3822.reshuffled-07-sc2007,83390,97196038,146560,359512,279161884,8610,81555,203871221,19130,27272,121225781,268774972,8102
QG7a-gensys-ukn002.sat05-3842.reshuffled-07-sc2007,555050,337635485,1207440,1190784,1159789126,34240,589266,763519710,75920,53620,491345344,1089710004,33009
SAT_dat.k100-sc2012,321220,433642329,163250,823740,209400040,6430,395512,845324727,52580,318436,110640586,233526322,7100
SAT_dat.k85-sc2013,1938220,1338440287,3543700,2241424,608235580,19720,1964137,2256564655,886080,1302628,334356498,697744470,21552
SGI_30_60_24_40_2-dir.shuffled-as.sat03-118-sc2002,1757710,2497934515,3662490,5952412,3971333004,120580,1880209,3544496498,294820,173924,1907733488,4131214852,125270
T103.2.1-sc2017,1870350,937898943,369620,2674908,189374534,11090,2688301,2548371744,577040,2615712,72568624,220295078,12027
Trivium_no_init_out350_known_last142_1_u,2648080,1081616360,6456070,4452216,4254751421,131210,2844470,3154945492,314430,69600,1792745380,3766073372,118931
Trivium_no_init_out350_known_last143_1_u,1652250,719437187,3101130,2863072,2579432842,80170,1750491,2158104966,201600,62904,1124956616,2364679438,75250
UTI-20-10p0-sc2009,1070520,3656239084,975680,3787004,1724714965,44070,1028799,5954766073,542570,421412,968736456,1987741106,49973
UTI-20-5p0-sc2009,687620,2145296161,623770,2417808,1132412094,31590,735352,3940986963,278690,318004,530112089,1093438518,27600
aaai10-planning-ipc5-TPP-21-step11-sc2011,361600,594516003,390180,961016,681543066,18370,372853,943432865,71540,169164,333127296,681260031,18549
ablmulub16x4o-sc2016,116010,173646641,214860,1529660,1974675464,56800,135466,1051570994,97290,34844,878856584,1902196839,52974
ablmulub2x32o-sc2016,239420,355909293,587570,1813384,2127147566,59930,263173,1361518641,110420,37572,906054106,1930206269,55325
aes_equiv_encry_3_rounds.debugged-sc2012,614830,981986300,2734030,1530404,491730061,14700,712300,1821180072,1838200,687388,222335772,453499280,13891
atco_enc1_opt2_20_12-sc2014,2019760,492590254,3387560,1700308,1387256107,41180,2109995,1277479600,110840,955280,602764949,1333921238,37942
atco_enc3_opt2_10_12-sc2014,1136730,80278950,234140,677580,141160739,6170,1344634,286111482,37110,1027928,50589933,139707996,6360
b1904P3-8x8c11h7UNSAT,1942560,1997159686,2100220,3487588,2831290951,79370,727300,1815452439,155830,121128,809169357,1637528336,45523
b_unsat-sc2013,1304550,577541910,2892000,2703952,3189424269,98750,1488698,2424248323,417390,266884,1533354727,3301998927,93299
blockpuzzle_5x10_s3_free4-sc2017,1504390,3736460465,2203590,9499304,8267472952,240260,1514121,6967919825,553500,179996,4033937598,8907187828,250841
blocks-blocks-37-1.130-NOTKNOWN-sc2011,3536680,24280916746,2592410,21545744,9290406699,282260,4281612,35722307705,12028200,2757880,3190956661,6776982620,186127
bob12s06-sc2013,1966050,1172053442,5684140,3305972,3751371402,95560,1961670,3527760888,737190,517720,1490524574,3063031371,75486
c6288mul.miter.shuffled-as.sat03-346-sc2002,1260090,1037665672,186640,1311192,155736082,4440,1320092,3191405091,60300,101780,91107739,184697129,5501
countbitssrl032-sc2009,55200,58865732,74890,491876,647189009,18070,92234,566957064,40400,36800,246171875,545018187,14894
countbitswegner128-sc2011,1144970,3421873627,2331340,4857920,4004382953,103300,1174554,6500565952,340630,262624,1253061630,2497018933,65460
crafted_n11_d6_c3_num24-sc2013,179170,825607169,236420,1401228,654108854,18960,215993,1188411153,156870,959388,337379544,731827471,20603
cruxmiter28seed8,301180,292254365,712550,1105724,868709451,26840,311218,653701812,58840,35272,370159932,769156003,24019
cruxmiter29seed4,849990,647372304,2263530,2330216,1753174097,55360,893576,1383070697,138580,59052,770654437,1608092718,50418
cruxmiter29seed9,5282290,2608238367,18875330,9815944,8470187567,256900,5383860,6514191902,749620,113304,3570314011,7560345973,230100
ctl_4291_567_2_unsat-sc2013,2227430,696361182,5187050,3567712,3239877409,105130,2380839,2695923692,365920,119664,1714248130,3626781303,115076
ctl_4291_567_2_unsat_pre-sc2013,2237140,699893258,5291770,3624304,3280953870,107810,2339976,2693661946,352650,121076,1701161542,3613817505,115079
dist6.c-sc2018,78830,127176906,148040,736404,920771948,25530,90192,583631003,47390,23344,405602272,894772628,24641
dp12u11.used-as.sat04-358-sc2004,152210,169822289,215330,520228,426506330,12280,163301,399482586,27950,33844,181993025,389938516,11364
e_rphp035_05-sc2018,1056330,1929192751,1901760,5391492,3036777178,95070,1121850,3160690995,257800,113640,1525341477,3086361678,97204
